what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1386233271748
java.specification.vendor,sysinfo,,,"Oracle Corporation",1386233271748
java.specification.version,sysinfo,,,"1.7",1386233271748
java.vendor,sysinfo,,,"Oracle Corporation",1386233271748
java.version,sysinfo,,,"1.7.0_40",1386233271748
java.vm.info,sysinfo,,,"mixed mode",1386233271748
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1386233271748
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386233271748
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1386233271748
java.vm.specification.version,sysinfo,,,"1.7",1386233271748
java.vm.vendor,sysinfo,,,"Oracle Corporation",1386233271748
java.vm.version,sysinfo,,,"24.0-b56",1386233271748
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1386233271795
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1386233271920
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1386233272592
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1386233272670
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1386233272795
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1386233273233
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1386233273373
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1386233273702
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1386233274999
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1386233587266
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1386233587266
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1386233604829
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386233605016
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386233605407
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1386233606323
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1386233606370
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1386233606479
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386233607943
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386233608193
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386233608365
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386233681069
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386233822124
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1386233825112
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1386233825425
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1386233825597
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1386233826362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233827706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233829338
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1386233833107
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1386233842494
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1386233842526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1386233843448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1386233857906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233863229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233866279
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1386233866560
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1386233866826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233867998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233870271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1386233874444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1386233877069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1386233880284
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1386233883520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233885039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233887963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233892722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233895354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233934772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233946368
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1386233948650
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1386233950001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233950720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233952410
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1386233952535
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1386233953019
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1386233953191
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1386233953285
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1386233954347
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1386233956793
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386233956918
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1386233957231
closed,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1386233957262
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1386233957747
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386233958528
closed,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1386233958543
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1386233960190
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1386233969596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233971131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233973992
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1386233974133
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1386233977705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233986731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386233987981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234006665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234008785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1386234023838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1386234028041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1386234036062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234044516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234050791
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386234050963
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386234060512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234062486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234075606
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386234077216
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386234078554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1386234096797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234100307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234101119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234104913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234106886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234127425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234150960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234162564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234165898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386234184356
