what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007404707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007441813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007447056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007449112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007687111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007693581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007696859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007704135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007776642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007835944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007953497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388007955431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388008015701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388008046483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388008068112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388008076081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388008111389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388008113414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388008122843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388008320333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388008379867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388009195451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388009196736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388009198435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388009201785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388009204153
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388009204315
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388009204317
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388009205484
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388009205484
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388009206349
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388009206349
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388009209948
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1388009210625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.exit",1388009211378
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1388009211540
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1388009211563
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1388009211578
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1388009211620
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1388009211651
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1388009211709
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1388009211724
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1388009211724
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1388047398720
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1388047398720
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1388047398736
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1388047398876
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1388047398876
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1388047398876
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1388047398876
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1388047398893
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1388047398895
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1388047398897
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1388047398897
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1388047398897
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1388047398897
