what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612927600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612929210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612949771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612956372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612960233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612963118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612967812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612970008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612973624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612974836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612979411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386612982790
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386612987177
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386613015839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613018127
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1386613018158
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1386613018299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613022083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1386613023274
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386613038674
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386613042304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613054704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613058329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.contextInformation",1386613061221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613063581
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1386613063628
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1386613063706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613065505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1386613067286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613076005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613081069
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386613082414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613108956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613112894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1386613115817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1386613116208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613123942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613132193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613288443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613303959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613305428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613310241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613312022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613325117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386613326882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613328554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613332539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1386613438860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386613441751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386613453220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386613460627
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1386613516974
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1386613517020
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386613538772
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386613540850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386613541584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613546647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613547569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613547991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613601322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613604041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613610166
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386613610322
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386613610416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1386613611713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386613612525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613625260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613626510
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386613626620
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1386613626620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386613628310
