what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1387819802987
os,sysinfo,,,"win32",1387819803003
arch,sysinfo,,,"x86_64",1387819803003
ws,sysinfo,,,"win32",1387819803003
locale,sysinfo,,,"tr_TR",1387819803003
processors,sysinfo,,,"4",1387819803003
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1387819803003
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1387819803003
java.specification.name,sysinfo,,,"Java Platform API Specification",1387819803003
java.specification.vendor,sysinfo,,,"Oracle Corporation",1387819803003
java.specification.version,sysinfo,,,"1.7",1387819803003
java.vendor,sysinfo,,,"Oracle Corporation",1387819803003
java.version,sysinfo,,,"1.7.0_40",1387819803003
java.vm.info,sysinfo,,,"mixed mode",1387819803003
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1387819803003
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1387819803003
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1387819803003
java.vm.specification.version,sysinfo,,,"1.7",1387819803003
java.vm.vendor,sysinfo,,,"Oracle Corporation",1387819803003
java.vm.version,sysinfo,,,"24.0-b56",1387819803003
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1387819803018
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1387819803847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819804409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819811894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819813285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819833192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819833270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819834770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819837000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819837500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819839675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819849810
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1387819857091
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1387819860217
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1387819860670
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819860888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819861388
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1387819862607
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1387819862639
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1387819862748
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387819865232
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819865498
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819865732
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387819868326
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819868592
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819869326
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387819870764
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819871014
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819871155
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387819872311
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819876189
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819876360
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387819877298
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819877517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819877673
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1387819881501
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1387819881814
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1387819882048
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1387819882923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819883658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819884986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819889240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819900388
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819902201
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1387819914467
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819923734
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387819929015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387819933641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387820219599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387820220286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387820222567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387820225443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387820229708
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387820246084
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387820246959
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387820248022
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387820250713
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387820280534
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1387820287175
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1387820287394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387820287597
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387820289097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387820309473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387820327153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387820358405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387820363092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1387820373265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1387820374312
