what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480881539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480884367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480890399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480894321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480895493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480897774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480901603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480903462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480905572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480910325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480912435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480914404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480918201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480920185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480921873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480925107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480926842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480928717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480932717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480935655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480940702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480945908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480947158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480949221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480953534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480955471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480957347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480962566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480965409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480968832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480973222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480974144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480976676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480982645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480984614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480987489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480992630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387480994786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480997896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387480999677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387481002193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481003052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481005240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481009209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481013943
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387481015900
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481016134
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481016259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481018900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481025650
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387481027478
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481027744
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481027885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481030010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481033338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1387481075700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387481077356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1387481101342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387481182081
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481184018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481216774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481218368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1387481246635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387481250276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387481309061
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481311077
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387481321765
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481322046
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481322187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481324312
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481324312
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387481326077
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1387481326531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481328906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481330593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1387481330609
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481332765
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481332906
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481335781
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481335797
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387481337531
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481337750
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387481337906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481347375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481357157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1387481361142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387481361814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1387481401535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387481414332
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1387481415379
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1387481415598
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1387481415723
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1387481416254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387481417114
